transaction_id,obligor_id,facility_id,transaction_type,amount,currency,transaction_date,value_date,status,reference_number,description,created_by,approved_by
TXN-000073,OBL-00064,FAC-0076,Rollover,314434421.07,USD,2022-07-16,2022-07-17,Pending,REF-41732012,Rollover processed under FAC-0076,J. Thompson,L. Johnson
TXN-000074,OBL-00010,FAC-0077,Amendment,45619085.06,USD,2023-08-11,2023-08-11,Completed,REF-64064349,Drawdown processed under FAC-0077,C. Davis,C. Davis
TXN-000075,OBL-00021,FAC-0084,Repayment,17148889.49,USD,2021-11-21,2021-11-21,Pending,REF-50399304,Amendment processed under FAC-0084,R. Williams,R. Williams
TXN-000076,OBL-00205,FAC-0063,Drawdown,362689083.93,USD,2020-06-12,2020-06-14,Pending,REF-50056450,Assignment processed under FAC-0063,D. Lee,A. Rodriguez
TXN-000077,OBL-00432,FAC-0096,Drawdown,15402987.82,USD,2022-02-04,2022-02-04,Completed,REF-28620619,Repayment processed under FAC-0096,R. Williams,K. Brown
TXN-000078,OBL-00116,FAC-0092,Waiver,11575564.66,USD,2020-12-14,2020-12-14,Failed,REF-10663217,Drawdown processed under FAC-0092,L. Johnson,J. Thompson
TXN-000079,OBL-00057,FAC-0009,Waiver,183724.07,USD,2020-04-08,2020-04-10,Cancelled,REF-92241997,Syndication processed under FAC-0009,L. Johnson,S. Patel
TXN-000080,OBL-00474,FAC-0048,Waiver,34319600.74,USD,2020-10-09,2020-10-12,Completed,REF-88400641,Syndication processed under FAC-0048,D. Lee,A. Rodriguez
TXN-000081,OBL-00268,FAC-0020,Assignment,184304005.65,USD,2022-12-16,2022-12-17,Completed,REF-53206211,Assignment processed under FAC-0020,M. Chen,A. Rodriguez
TXN-000082,OBL-00136,FAC-0079,Waiver,57476545.48,USD,2024-04-18,2024-04-20,Failed,REF-42531190,Fee Payment processed under FAC-0079,A. Rodriguez,A. Rodriguez
TXN-000083,OBL-00498,FAC-0081,Fee Payment,39164732.57,USD,2022-10-09,2022-10-09,Pending,REF-61681908,Fee Payment processed under FAC-0081,D. Lee,A. Rodriguez
TXN-000084,OBL-00175,FAC-0060,Amendment,255700763.56,USD,2021-03-03,2021-03-05,Cancelled,REF-70937796,Interest Payment processed under FAC-0060,C. Davis,A. Rodriguez
TXN-000085,OBL-00469,FAC-0045,Syndication,175919087.64,USD,2020-09-23,2020-09-24,Pending,REF-93279154,Participation processed under FAC-0045,M. Chen,K. Brown
TXN-000086,OBL-00097,FAC-0037,Amendment,24956531.25,USD,2020-05-20,2020-05-22,Failed,REF-97024488,Repayment processed under FAC-0037,S. Patel,D. Lee
TXN-000087,OBL-00449,FAC-0022,Assignment,50791527.13,USD,2020-08-07,2020-08-07,Completed,REF-45803474,Drawdown processed under FAC-0022,D. Lee,C. Davis
TXN-000088,OBL-00232,FAC-0023,Participation,15798776.17,USD,2021-12-21,2021-12-23,Completed,REF-57570364,Syndication processed under FAC-0023,M. Chen,S. Patel
TXN-000089,OBL-00204,FAC-0017,Drawdown,29509192.2,USD,2022-10-25,2022-10-28,Pending,REF-46586258,Waiver processed under FAC-0017,A. Rodriguez,J. Thompson
TXN-000090,OBL-00333,FAC-0078,Fee Payment,35600105.58,USD,2022-02-22,2022-02-25,Pending,REF-33708904,Rollover processed under FAC-0078,L. Johnson,C. Davis
TXN-000091,OBL-00312,FAC-0004,Drawdown,7242645.87,USD,2022-10-07,2022-10-10,Cancelled,REF-43412730,Repayment processed under FAC-0004,M. Chen,A. Rodriguez
TXN-000092,OBL-00028,FAC-0044,Participation,44543551.16,USD,2020-03-14,2020-03-16,Completed,REF-46971545,Fee Payment processed under FAC-0044,P. Wilson,K. Brown
TXN-000093,OBL-00201,FAC-0022,Amendment,38865426.33,USD,2022-03-15,2022-03-15,Pending,REF-37609308,Interest Payment processed under FAC-0022,M. Chen,R. Williams
TXN-000094,OBL-00327,FAC-0061,Repayment,232653360.09,USD,2021-08-12,2021-08-14,Completed,REF-77543749,Rollover processed under FAC-0061,D. Lee,L. Johnson
TXN-000095,OBL-00437,FAC-0065,Repayment,61866206.18,USD,2023-11-09,2023-11-10,Completed,REF-35144941,Waiver processed under FAC-0065,D. Lee,S. Patel
TXN-000096,OBL-00493,FAC-0089,Drawdown,2701035.5,USD,2020-01-27,2020-01-30,Completed,REF-45410956,Repayment processed under FAC-0089,S. Patel,J. Thompson
TXN-000097,OBL-00305,FAC-0005,Assignment,264403627.85,USD,2021-12-22,2021-12-25,Completed,REF-73427036,Repayment processed under FAC-0005,J. Thompson,J. Thompson
TXN-000098,OBL-00291,FAC-0008,Participation,120824983.71,USD,2023-10-24,2023-10-26,Failed,REF-32455261,Interest Payment processed under FAC-0008,A. Rodriguez,A. Rodriguez
TXN-000099,OBL-00156,FAC-0051,Waiver,13254635.51,USD,2024-02-16,2024-02-18,Failed,REF-44539524,Assignment processed under FAC-0051,L. Johnson,R. Williams
TXN-000100,OBL-00235,FAC-0097,Waiver,11926559.11,USD,2020-01-28,2020-01-30,Failed,REF-99112118,Rollover processed under FAC-0097,D. Lee,A. Rodriguez
TXN-000101,OBL-00139,FAC-0067,Syndication,38037703.25,USD,2023-11-05,2023-11-05,Completed,REF-98498728,Interest Payment processed under FAC-0067,R. Williams,D. Lee
TXN-000102,OBL-00016,FAC-0004,Repayment,182492621.27,USD,2021-05-15,2021-05-18,Completed,REF-60704539,Repayment processed under FAC-0004,L. Johnson,C. Davis
TXN-000103,OBL-00461,FAC-0091,Waiver,115034834.13,USD,2022-07-09,2022-07-10,Completed,REF-62482651,Rollover processed under FAC-0091,K. Brown,L. Johnson
TXN-000104,OBL-00159,FAC-0020,Waiver,344580577.1,USD,2021-01-25,2021-01-25,Failed,REF-26503581,Syndication processed under FAC-0020,D. Lee,P. Wilson
TXN-000105,OBL-00496,FAC-0064,Drawdown,63776955.51,USD,2024-06-11,2024-06-13,Pending,REF-29747600,Assignment processed under FAC-0064,S. Patel,C. Davis
TXN-000106,OBL-00495,FAC-0028,Amendment,131517139.56,USD,2021-08-16,2021-08-17,Completed,REF-49557552,Drawdown processed under FAC-0028,D. Lee,J. Thompson
TXN-000107,OBL-00112,FAC-0099,Amendment,4614300.36,USD,2021-08-02,2021-08-02,Completed,REF-67756952,Waiver processed under FAC-0099,J. Thompson,J. Thompson
TXN-000108,OBL-00129,FAC-0062,Participation,81008658.98,USD,2020-10-09,2020-10-11,Cancelled,REF-85262472,Interest Payment processed under FAC-0062,A. Rodriguez,L. Johnson
TXN-000109,OBL-00074,FAC-0011,Repayment,312962097.42,USD,2024-02-10,2024-02-11,Completed,REF-39374592,Drawdown processed under FAC-0011,D. Lee,R. Williams
TXN-000110,OBL-00128,FAC-0053,Repayment,22198162.15,USD,2023-10-21,2023-10-24,Completed,REF-50536794,Rollover processed under FAC-0053,L. Johnson,S. Patel
TXN-000111,OBL-00289,FAC-0041,Interest Payment,612968063.51,USD,2022-06-11,2022-06-13,Cancelled,REF-36777331,Amendment processed under FAC-0041,S. Patel,K. Brown
TXN-000112,OBL-00284,FAC-0016,Amendment,17255964.35,USD,2021-02-12,2021-02-14,Failed,REF-94331525,Assignment processed under FAC-0016,C. Davis,S. Patel
TXN-000113,OBL-00193,FAC-0080,Participation,52732543.06,USD,2024-05-21,2024-05-24,Pending,REF-52045107,Participation processed under FAC-0080,R. Williams,D. Lee
TXN-000114,OBL-00182,FAC-0091,Syndication,228632830.05,USD,2022-05-25,2022-05-28,Pending,REF-13714198,Participation processed under FAC-0091,J. Thompson,K. Brown
TXN-000115,OBL-00046,FAC-0040,Amendment,136545801.82,USD,2024-03-27,2024-03-28,Completed,REF-87889556,Participation processed under FAC-0040,R. Williams,S. Patel
TXN-000116,OBL-00318,FAC-0034,Syndication,3670816.67,USD,2023-01-17,2023-01-19,Completed,REF-64081976,Drawdown processed under FAC-0034,D. Lee,C. Davis
TXN-000117,OBL-00236,FAC-0063,Repayment,2242969.45,USD,2020-04-21,2020-04-21,Completed,REF-89770922,Repayment processed under FAC-0063,L. Johnson,P. Wilson
TXN-000118,OBL-00247,FAC-0071,Repayment,261823035.16,USD,2023-11-15,2023-11-17,Cancelled,REF-88466030,Participation processed under FAC-0071,J. Thompson,M. Chen
TXN-000119,OBL-00265,FAC-0016,Interest Payment,11225168.47,USD,2020-10-22,2020-10-25,Completed,REF-94320873,Amendment processed under FAC-0016,J. Thompson,D. Lee
TXN-000120,OBL-00320,FAC-0065,Drawdown,47374589.03,USD,2023-11-09,2023-11-10,Completed,REF-91039410,Repayment processed under FAC-0065,C. Davis,A. Rodriguez
TXN-000121,OBL-00127,FAC-0033,Participation,252894229.06,USD,2021-02-22,2021-02-22,Pending,REF-62440731,Drawdown processed under FAC-0033,A. Rodriguez,L. Johnson
TXN-000122,OBL-00208,FAC-0062,Participation,601534701.57,USD,2022-09-17,2022-09-18,Completed,REF-92243262,Assignment processed under FAC-0062,P. Wilson,A. Rodriguez
TXN-000123,OBL-00222,FAC-0059,Fee Payment,11892368.54,USD,2020-10-26,2020-10-26,Completed,REF-78654380,Participation processed under FAC-0059,M. Chen,D. Lee
TXN-000124,OBL-00246,FAC-0074,Rollover,308716293.63,USD,2021-08-16,2021-08-18,Pending,REF-59303460,Amendment processed under FAC-0074,K. Brown,K. Brown
TXN-000125,OBL-00358,FAC-0075,Syndication,29188722.03,USD,2024-06-26,2024-06-26,Completed,REF-13754158,Amendment processed under FAC-0075,D. Lee,A. Rodriguez
TXN-000126,OBL-00289,FAC-0041,Drawdown,442394672.77,USD,2022-03-08,2022-03-08,Cancelled,REF-97298206,Rollover processed under FAC-0041,D. Lee,J. Thompson
TXN-000127,OBL-00465,FAC-0001,Assignment,340160381.77,USD,2021-12-27,2021-12-28,Completed,REF-11224073,Interest Payment processed under FAC-0001,R. Williams,C. Davis
TXN-000128,OBL-00439,FAC-0044,Participation,93119260.72,USD,2022-10-27,2022-10-28,Pending,REF-78859755,Repayment processed under FAC-0044,S. Patel,S. Patel
TXN-000129,OBL-00181,FAC-0096,Interest Payment,283623789.44,USD,2023-09-05,2023-09-07,Completed,REF-98374850,Amendment processed under FAC-0096,K. Brown,A. Rodriguez
TXN-000130,OBL-00470,FAC-0041,Assignment,70770525.33,USD,2023-08-14,2023-08-17,Failed,REF-98445699,Interest Payment processed under FAC-0041,P. Wilson,C. Davis
TXN-000131,OBL-00398,FAC-0011,Waiver,20209868.97,USD,2023-09-11,2023-09-13,Failed,REF-87943552,Waiver processed under FAC-0011,P. Wilson,P. Wilson
TXN-000132,OBL-00425,FAC-0012,Interest Payment,3743618.97,USD,2022-04-06,2022-04-06,Completed,REF-22957438,Repayment processed under FAC-0012,D. Lee,D. Lee
TXN-000133,OBL-00166,FAC-0088,Fee Payment,759264544.59,USD,2024-04-05,2024-04-06,Completed,REF-33353610,Syndication processed under FAC-0088,K. Brown,A. Rodriguez
TXN-000134,OBL-00032,FAC-0062,Repayment,60376596.26,USD,2023-06-07,2023-06-09,Pending,REF-60240663,Rollover processed under FAC-0062,J. Thompson,S. Patel
TXN-000135,OBL-00165,FAC-0044,Rollover,125665978.44,USD,2020-08-08,2020-08-11,Failed,REF-36807901,Fee Payment processed under FAC-0044,L. Johnson,D. Lee
TXN-000136,OBL-00225,FAC-0004,Interest Payment,99107129.67,USD,2023-10-22,2023-10-24,Pending,REF-80938021,Fee Payment processed under FAC-0004,A. Rodriguez,P. Wilson
TXN-000137,OBL-00013,FAC-0003,Interest Payment,178724150.06,USD,2023-07-12,2023-07-12,Completed,REF-58259460,Syndication processed under FAC-0003,P. Wilson,C. Davis
TXN-000138,OBL-00443,FAC-0037,Participation,17258464.05,USD,2020-05-27,2020-05-29,Pending,REF-35519742,Fee Payment processed under FAC-0037,P. Wilson,D. Lee
TXN-000139,OBL-00257,FAC-0030,Participation,123795513.23,USD,2021-12-22,2021-12-24,Completed,REF-19013348,Assignment processed under FAC-0030,K. Brown,K. Brown
TXN-000140,OBL-00448,FAC-0031,Participation,44527858.91,USD,2020-05-25,2020-05-25,Completed,REF-23544314,Repayment processed under FAC-0031,D. Lee,M. Chen
TXN-000141,OBL-00027,FAC-0053,Amendment,376529.35,USD,2023-05-16,2023-05-18,Completed,REF-62402145,Waiver processed under FAC-0053,A. Rodriguez,S. Patel
TXN-000142,OBL-00496,FAC-0064,Fee Payment,118170787.06,USD,2021-08-12,2021-08-12,Failed,REF-92040231,Participation processed under FAC-0064,L. Johnson,K. Brown
TXN-000143,OBL-00317,FAC-0002,Amendment,4332472.79,USD,2020-04-26,2020-04-26,Cancelled,REF-14023583,Drawdown processed under FAC-0002,R. Williams,K. Brown
TXN-000144,OBL-00134,FAC-0052,Drawdown,1829181.34,USD,2021-02-14,2021-02-16,Completed,REF-37411730,Participation processed under FAC-0052,R. Williams,J. Thompson
TXN-000145,OBL-00121,FAC-0030,Rollover,172392553.02,USD,2022-10-07,2022-10-07,Failed,REF-14746217,Waiver processed under FAC-0030,A. Rodriguez,K. Brown
TXN-000146,OBL-00307,FAC-0029,Assignment,432611929.59,USD,2024-02-23,2024-02-23,Completed,REF-46307023,Drawdown processed under FAC-0029,A. Rodriguez,J. Thompson
TXN-000147,OBL-00255,FAC-0050,Syndication,68255029.94,USD,2022-11-05,2022-11-06,Pending,REF-50724121,Fee Payment processed under FAC-0050,J. Thompson,J. Thompson
TXN-000148,OBL-00014,FAC-0036,Syndication,163897512.58,USD,2024-05-03,2024-05-04,Cancelled,REF-12428651,Participation processed under FAC-0036,D. Lee,J. Thompson
TXN-000149,OBL-00199,FAC-0066,Syndication,7741768.24,USD,2024-04-17,2024-04-20,Cancelled,REF-67288633,Participation processed under FAC-0066,S. Patel,A. Rodriguez
TXN-000150,OBL-00225,FAC-0004,Waiver,154607892.01,USD,2020-08-29,2020-08-31,Pending,REF-17774227,Fee Payment processed under FAC-0004,M. Chen,A. Rodriguez
TXN-000151,OBL-00302,FAC-0069,Participation,35744705.87,USD,2020-01-21,2020-01-22,Failed,REF-16144449,Drawdown processed under FAC-0069,M. Chen,J. Thompson
TXN-000152,OBL-00040,FAC-0006,Amendment,166401702.27,USD,2020-04-26,2020-04-27,Completed,REF-52161262,Waiver processed under FAC-0006,P. Wilson,M. Chen
TXN-000153,OBL-00150,FAC-0032,Repayment,186475252.07,USD,2020-09-22,2020-09-25,Cancelled,REF-20308436,Repayment processed under FAC-0032,L. Johnson,C. Davis
TXN-000154,OBL-00106,FAC-0013,Fee Payment,455611535.88,USD,2022-10-10,2022-10-12,Pending,REF-50630244,Waiver processed under FAC-0013,C. Davis,L. Johnson
TXN-000155,OBL-00445,FAC-0034,Amendment,83370068.67,USD,2023-08-31,2023-09-01,Completed,REF-82668051,Participation processed under FAC-0034,A. Rodriguez,J. Thompson
TXN-000156,OBL-00178,FAC-0097,Fee Payment,19257756.01,USD,2022-04-21,2022-04-24,Completed,REF-79926758,Fee Payment processed under FAC-0097,L. Johnson,C. Davis
TXN-000157,OBL-00108,FAC-0004,Interest Payment,316458136.71,USD,2020-09-08,2020-09-10,Completed,REF-41555291,Assignment processed under FAC-0004,D. Lee,A. Rodriguez
